MultiPolygon (((743894.32 1051180.58, 743894.35 1051186.6, 743858.38 1051186.41, 743858.36 1051211.79, 743913.7 1051211.75, 743913.59 1051180.75, 743894.32 1051180.58))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((743901.99 1051225.77, 743901.98 1051239.07, 743914.54 1051239.06, 743926.06 1051239.06, 743926.06 1051238.74, 743926.06 1051235.85, 743926.06 1051225.86, 743901.99 1051225.77))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((743883.62 1051239.07, 743901.98 1051239.07, 743901.99 1051225.77, 743877.24 1051225.78, 743877.24 1051239.07, 743883.62 1051239.07))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((743858.4 1051225.78, 743858.4 1051239.08, 743877.24 1051239.07, 743877.24 1051225.78, 743858.4 1051225.78))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((743868.51 1051318.34, 743868.52 1051320.96, 743892.73 1051320.93, 743892.73 1051318.31, 743892.74 1051304.34, 743868.48 1051304.3, 743868.51 1051318.34))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((743892.73 1051320.93, 743868.52 1051320.96, 743868.51 1051318.34, 743865.22 1051318.35, 743862.54 1051318.35, 743859.2 1051318.36, 743856.27 1051318.37, 743856.2 1051333.1, 743856.15 1051344.26, 743868.5 1051344.26, 743868.5 1051343.06, 743877.39 1051343.05, 743877.39 1051344.26, 743883.8 1051344.25, 743883.8 1051343.03, 743892.76 1051343.02, 743892.76 1051344.22, 743905.08 1051344.25, 743905.08 1051333.1, 743905.05 1051318.32, 743902.07 1051318.32, 743898.76 1051318.32, 743896.04 1051318.31, 743892.73 1051318.31, 743892.73 1051320.93))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((743817.53 1051197.96, 743814.2 1051198.61, 743814.43 1051199.79, 743808.68 1051200.92, 743802.92 1051202.07, 743802.69 1051200.89, 743802.27 1051200.98, 743799.87 1051201.46, 743796.53 1051202.12, 743796.77 1051203.3, 743791.02 1051204.45, 743785.27 1051205.6, 743785.04 1051204.42, 743784.65 1051204.5, 743782.24 1051204.98, 743778.88 1051205.66, 743779.11 1051206.83, 743773.24 1051208.01, 743776.34 1051222.53, 743785.66 1051220.66, 743787.91 1051220.21, 743794.12 1051218.97, 743803.44 1051217.11, 743805.69 1051216.66, 743811.78 1051215.44, 743821.13 1051213.55, 743823.38 1051213.09, 743829.38 1051211.88, 743826.46 1051197.42, 743820.55 1051198.58, 743820.32 1051197.41, 743819.93 1051197.48, 743817.53 1051197.96))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((743764.3 1051208.57, 743760.97 1051209.23, 743761.21 1051210.42, 743755.43 1051211.57, 743749.67 1051212.72, 743749.43 1051211.55, 743749.02 1051211.63, 743746.85 1051212.06, 743743.29 1051212.78, 743743.52 1051213.95, 743737.79 1051215.1, 743732.07 1051216.24, 743731.83 1051215.07, 743731.44 1051215.15, 743729.29 1051215.58, 743725.67 1051216.3, 743725.91 1051217.47, 743720.06 1051218.64, 743723.16 1051233.16, 743732.48 1051231.3, 743734.74 1051230.85, 743740.89 1051229.62, 743750 1051227.8, 743752.25 1051227.35, 743758.53 1051226.09, 743767.85 1051224.23, 743770.1 1051223.78, 743776.34 1051222.53, 743773.24 1051208.01, 743767.35 1051209.19, 743767.11 1051208.01, 743766.71 1051208.09, 743764.3 1051208.57))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((743707.74 1051219.79, 743707.99 1051221.06, 743702.26 1051222.21, 743705.36 1051236.72, 743714.49 1051234.89, 743716.74 1051234.44, 743723.16 1051233.16, 743720.06 1051218.64, 743714.2 1051219.81, 743713.95 1051218.54, 743713.53 1051218.63, 743711.12 1051219.11, 743707.74 1051219.79))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((743801.43 1051277.26, 743765.19 1051284.5, 743765.15 1051284.3, 743764.95 1051284.34, 743765.92 1051289.29, 743767.63 1051297.54, 743767.83 1051297.5, 743767.79 1051297.31, 743773.48 1051296.2, 743776.74 1051312.88, 743771.02 1051314, 743770.98 1051313.8, 743770.78 1051313.84, 743772.47 1051322.2, 743773.43 1051327.09, 743773.63 1051327.05, 743773.59 1051326.85, 743809.94 1051319.74, 743809.9 1051319.55, 743809.7 1051319.59, 743801.27 1051277.5, 743801.47 1051277.46, 743801.43 1051277.26),(743800.19 1051308.09, 743789.44 1051310.24, 743786.11 1051293.57, 743796.87 1051291.42, 743800.19 1051308.09))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
